areaCode,areaName,areaType,date,cumPCRTestsByPublishDate,cumTestsByPublishDate,hospitalCases,newCasesByPublishDate
K02000001,United Kingdom,overview,2021-12-09,,,,50867
K02000001,United Kingdom,overview,2021-12-08,166703208,373037852,7347,51342
K02000001,United Kingdom,overview,2021-12-07,166164779,371694121,7337,45691
K02000001,United Kingdom,overview,2021-12-06,165667153,370541215,7355,51459
K02000001,United Kingdom,overview,2021-12-05,165275917,369333562,7252,43992
K02000001,United Kingdom,overview,2021-12-04,164806301,368154460,7156,42848
K02000001,United Kingdom,overview,2021-12-03,164322696,367215608,7307,50584
K02000001,United Kingdom,overview,2021-12-02,163802569,366108215,7403,53945
K02000001,United Kingdom,overview,2021-12-01,163277610,364875273,7338,48374
K02000001,United Kingdom,overview,2021-11-30,162786637,363637864,7666,39716
K02000001,United Kingdom,overview,2021-11-29,162320883,362531048,7660,42583
K02000001,United Kingdom,overview,2021-11-28,162009399,361428446,7432,37681
K02000001,United Kingdom,overview,2021-11-27,161632039,360375873,7404,39567
K02000001,United Kingdom,overview,2021-11-26,161238126,359617774,7560,50091
K02000001,United Kingdom,overview,2021-11-25,160799438,358682719,7663,47240
K02000001,United Kingdom,overview,2021-11-24,160267729,357537501,7674,43676
K02000001,United Kingdom,overview,2021-11-23,159800114,356406029,7923,42484
K02000001,United Kingdom,overview,2021-11-22,159317593,355369515,8140,44917
K02000001,United Kingdom,overview,2021-11-21,158968540,354308340,8046,40004
K02000001,United Kingdom,overview,2021-11-20,158476703,353196770,7950,40941
K02000001,United Kingdom,overview,2021-11-19,158081340,352445959,8072,44242
K02000001,United Kingdom,overview,2021-11-18,157646378,351529646,8124,46807
K02000001,United Kingdom,overview,2021-11-17,157193228,350469592,8224,38263
K02000001,United Kingdom,overview,2021-11-16,156589362,349236596,8473,37243
K02000001,United Kingdom,overview,2021-11-15,156215943,348362751,8751,39705
K02000001,United Kingdom,overview,2021-11-14,155923706,347364723,8592,36517
K02000001,United Kingdom,overview,2021-11-13,155583943,346417185,8506,38351
K02000001,United Kingdom,overview,2021-11-12,155223640,345717797,8643,40375
K02000001,United Kingdom,overview,2021-11-11,154823779,344837715,8735,42408
K02000001,United Kingdom,overview,2021-11-10,154354254,343761954,8888,39329
K02000001,United Kingdom,overview,2021-11-09,153917864,342695951,8960,33117
K02000001,United Kingdom,overview,2021-11-08,153494782,341791652,9011,32322
K02000001,United Kingdom,overview,2021-11-07,153202207,340788296,8863,30305
K02000001,United Kingdom,overview,2021-11-06,152923501,339876033,8843,30693
K02000001,United Kingdom,overview,2021-11-05,152581949,339196188,9089,34029
K02000001,United Kingdom,overview,2021-11-04,152151822,338310440,9290,37269
K02000001,United Kingdom,overview,2021-11-03,151739577,337291624,9437,41299
K02000001,United Kingdom,overview,2021-11-02,151304965,336227289,9652,33865
K02000001,United Kingdom,overview,2021-11-01,150873141,335303024,9669,40077
K02000001,United Kingdom,overview,2021-10-31,150621589,334310027,9425,38009
K02000001,United Kingdom,overview,2021-10-30,150328550,333322458,9271,41278
K02000001,United Kingdom,overview,2021-10-29,149976171,332610415,9220,43467
K02000001,United Kingdom,overview,2021-10-28,149539061,331717146,9124,39842
