prirustkovy_pocet_nakazenych-1,prirustkovy_pocet_umrti-1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
2,0
1,0
3,0
11,0
7,0
6,0
6,0
25,0
31,0
22,0
25,0
48,0
109,0
85,0
67,0
110,0
206,0
124,0
159,0
115,1
126,0
185,2
292,7
259,0
377,2
263,5
159,6
184,5
305,7
283,8
268,6
333,8
283,9
117,8
236,8
196,10
294,15
257,10
163,11
170,8
89,10
68,11
82,9
160,0
132,2
116,8
105,4
92,9
154,7
133,8
99,2
55,6
86,6
79,4
52,2
41,1
60,4
75,5
104,8
55,8
18,1
26,3
38,5
77,3
79,3
58,4
46,5
18,3
28,3
56,2
45,3
50,4
82,3
55,2
51,1
20,2
113,3
62,2
74,5
35,3
59,2
77,1
65,1
47,1
51,1
37,0
54,2
57,0
34,0
38,0
34,2
63,1
74,1
61,3
35,0
38,0
61,1
69,0
55,1
73,1
64,1
52,1
53,0
33,1
40,1
47,1
51,1
118,2
126,1
43,1
50,1
64,1
89,0
127,4
93,0
168,1
260,1
305,0
201,0
149,1
90,0
133,1
140,0
121,2
75,2
51,1
118,0
129,0
105,1
141,0
53,0
59,1
64,1
105,2
134,0
137,0
128,2
112,0
91,1
168,0
207,2
245,2
231,1
278,3
132,2
114,1
194,2
276,2
274,2
254,2
231,2
124,2
101,2
208,2
287,2
241,1
214,1
322,0
173,0
122,1
141,0
288,2
289,0
330,1
291,2
197,2
121,2
191,4
281,0
313,3
246,3
506,3
234,0
136,3
259,1
364,2
396,1
350,0
485,0
320,3
275,1
256,1
497,1
645,0
675,4
797,3
504,5
410,3
561,2
1161,5
1158,3
1383,5
1442,3
1537,6
791,5
1028,6
1676,10
2133,7
3125,7
2108,12
2045,8
984,6
1477,15
2387,10
2305,22
2906,10
2945,10
1981,16
1305,16
1284,11
1962,21
2925,16
3503,29
3795,21
2554,13
1841,35
3118,29
4458,38
5336,51
5394,26
8618,61
4637,53
3104,43
4307,70
8324,53
9544,67
9724,63
11104,80
8713,81
5059,82
8077,110
11985,109
14971,131
14156,127
15248,125
12473,143
7300,154
10273,163
15667,195
12977,168
13050,199
13604,217
11428,193
6551,224
9241,223
12090,261
15726,228
13237,196
11546,217
7721,203
3611,206
6049,186
9057,215
8919,184
7874,174
7358,181
4196,185
1891,152
5418,173
4246,139
5514,155
6470,134
5809,117
3191,132
1508,126
4379,129
5861,136
4929,123
4049,130
4462,138
2668,117
1074,95
3572,126
5180,100
4561,116
4624,102
4747,92
3313,129
1112,91
4251,94
5855,95
6416,82
5874,116
