Iteration 1, loss = 8549810.47733517
Iteration 2, loss = 8542553.96462176
Iteration 3, loss = 8536224.69190022
Iteration 4, loss = 8530136.20318679
Iteration 5, loss = 8524454.64163531
Iteration 6, loss = 8519084.46304310
Iteration 7, loss = 8514052.58444961
Iteration 8, loss = 8509602.50249896
Iteration 9, loss = 8505372.33065806
Iteration 10, loss = 8501464.70319512
Iteration 11, loss = 8496697.20422130
Iteration 12, loss = 8492510.94429764
Iteration 13, loss = 8488758.12275869
Iteration 14, loss = 8485072.71313608
Iteration 15, loss = 8480778.33617238
Iteration 16, loss = 8476585.16337072
Iteration 17, loss = 8472062.11351302
Iteration 18, loss = 8467595.12187745
Iteration 19, loss = 8463134.03157484
Iteration 20, loss = 8458765.49973536
Iteration 21, loss = 8454126.61076036
Iteration 22, loss = 8449321.05043175
Iteration 23, loss = 8444876.44272361
Iteration 24, loss = 8439997.11093342
Iteration 25, loss = 8435423.12926288
Iteration 26, loss = 8430496.51038868
Iteration 27, loss = 8425644.60244003
Iteration 28, loss = 8420902.87228311
Iteration 29, loss = 8415929.60602817
Iteration 30, loss = 8411162.17547767
Iteration 31, loss = 8406156.28910546
Iteration 32, loss = 8400703.70468564
Iteration 33, loss = 8395789.48925655
Iteration 34, loss = 8390588.42948673
Iteration 35, loss = 8385276.13614992
Iteration 36, loss = 8380209.75113558
Iteration 37, loss = 8375620.37803081
Iteration 38, loss = 8370231.32382357
Iteration 39, loss = 8364824.58713664
Iteration 40, loss = 8360104.52975519
Iteration 41, loss = 8355135.98320151
Iteration 42, loss = 8350284.59843124
Iteration 43, loss = 8345959.85115834
Iteration 44, loss = 8341332.59215174
Iteration 45, loss = 8336687.69463072
Iteration 46, loss = 8332650.58868747
Iteration 47, loss = 8327963.09995008
Iteration 48, loss = 8323436.95779632
Iteration 49, loss = 8319358.06874319
Iteration 50, loss = 8316154.07967717
Iteration 51, loss = 8312802.95784763
Iteration 52, loss = 8310128.66269198
Iteration 53, loss = 8307697.35881960
Iteration 54, loss = 8304566.21699566
Iteration 55, loss = 8302203.63868103
Iteration 56, loss = 8301213.41180322
Iteration 57, loss = 8298618.51154156
Iteration 58, loss = 8295684.12239613
Iteration 59, loss = 8293603.28148759
Iteration 60, loss = 8291155.71120152
Iteration 61, loss = 8290387.96264838
Iteration 62, loss = 8288322.62847164
Iteration 63, loss = 8285252.01113572
Iteration 64, loss = 8282411.27895351
Iteration 65, loss = 8279662.52202662
Iteration 66, loss = 8276354.88326494
Iteration 67, loss = 8272951.97686378
Iteration 68, loss = 8268934.42119438
Iteration 69, loss = 8264850.87436029
Iteration 70, loss = 8261671.67296098
