datum,first_vaccine,second_vaccine,first_vaccine_cumulative,second_vaccine_cumulative
2020-12-27,1278,0,1278,0
2020-12-28,2307,0,3585,0
2020-12-29,3467,0,7052,0
2020-12-30,3516,0,10568,0
2020-12-31,1220,0,11788,0
2021-01-01,269,0,12057,0
2021-01-02,1279,0,13336,0
2021-01-03,893,0,14229,0
2021-01-04,3376,0,17605,0
2021-01-05,4837,0,22442,0
2021-01-06,5575,0,28017,0
2021-01-07,7654,0,35671,0
2021-01-08,8950,0,44621,0
2021-01-09,1991,0,46612,0
2021-01-10,1728,1,48340,1
2021-01-11,10071,2,58411,3
2021-01-12,13039,2,71450,5
2021-01-13,14120,0,85570,5
2021-01-14,16243,5,101813,10
2021-01-15,15220,3,117033,13
2021-01-16,2248,3,119281,16
2021-01-17,2551,506,121832,522
2021-01-18,12959,2179,134791,2701
2021-01-19,14107,1779,148898,4480
2021-01-20,11116,2628,160014,7108
2021-01-21,15454,2088,175468,9196
2021-01-22,15486,934,190954,10130
2021-01-23,3786,760,194740,10890
2021-01-24,2619,910,197359,11800
2021-01-25,10866,2996,208225,14796
2021-01-26,13173,4162,221398,18958
2021-01-27,8460,4980,229858,23938
2021-01-28,8208,5561,238066,29499
2021-01-29,5037,7236,243103,36735
2021-01-30,732,1037,243835,37772
2021-01-31,601,1143,244436,38915
2021-02-01,3511,7340,247947,46255
2021-02-02,5429,9932,253376,56187
2021-02-03,3364,11180,256740,67367
2021-02-04,3105,14970,259845,82337
2021-02-05,6415,11500,266260,93837
2021-02-06,523,2209,266783,96046
2021-02-07,1274,3636,268057,99682
2021-02-08,4851,13760,272908,113442
2021-02-09,4779,12591,277687,126033
2021-02-10,5711,11036,283398,137069
2021-02-11,5652,12903,289050,149972
2021-02-12,8250,21119,297300,171091
2021-02-13,1693,2753,298993,173844
2021-02-14,1232,1261,300225,175105
2021-02-15,8758,11468,308983,186573
2021-02-16,7755,16116,316738,202689
2021-02-17,8215,4984,324953,207673
2021-02-18,21579,8122,346532,215795
2021-02-19,15851,7905,362383,223700
2021-02-20,1967,186,364350,223886
2021-02-21,1001,1043,365351,224929
2021-02-22,12568,7122,377919,232051
2021-02-23,9224,5099,387143,237150
2021-02-24,11713,3580,398856,240730
2021-02-25,19064,3423,417920,244153
2021-02-26,17266,5565,435186,249718
2021-02-27,3008,557,438194,250275
2021-02-28,2346,549,440540,250824
2021-03-01,19585,3444,460125,254268
2021-03-02,27216,3540,487341,257808
2021-03-03,30879,4502,518220,262310
2021-03-04,33269,4681,551489,266991
2021-03-05,29438,4432,580927,271423
2021-03-06,11086,1047,592013,272470
2021-03-07,11470,1004,603483,273474
2021-03-08,30624,4986,634107,278460
2021-03-09,36385,6051,670492,284511
2021-03-10,38233,4980,708725,289491
2021-03-11,42748,7655,751473,297146
2021-03-12,39060,7248,790533,304394
2021-03-13,16573,1392,807106,305786
2021-03-14,13779,1049,820885,306835
2021-03-15,27217,8296,848102,315131
2021-03-16,41431,11732,889533,326863
2021-03-17,35020,11274,924553,338137
2021-03-18,35657,14377,960210,352514
2021-03-19,33131,11184,993341,363698
2021-03-20,14760,1043,1008101,364741
2021-03-21,6931,1551,1015032,366292
2021-03-22,21958,10178,1036990,376470
2021-03-23,26471,13636,1063461,390106
2021-03-24,23746,14946,1087207,405052
2021-03-25,26143,20797,1113350,425849
2021-03-26,25106,17853,1138456,443702
2021-03-27,10012,4708,1148468,448410
2021-03-28,3809,3905,1152277,452315
2021-03-29,18471,22786,1170748,475101
2021-03-30,25944,21761,1196692,496862
2021-03-31,22560,25979,1219252,522841
2021-04-01,25460,34755,1244712,557596
2021-04-02,6257,12286,1250969,569882
2021-04-03,3495,12077,1254464,581959
2021-04-04,3250,9556,1257714,591515
2021-04-05,2422,8609,1260136,600124
2021-04-06,15220,28354,1275356,628478
2021-04-07,22143,20690,1297499,649168
2021-04-08,38864,32517,1336363,681685
2021-04-09,40906,30218,1377269,711903
2021-04-10,16647,18073,1393916,729976
2021-04-11,9569,11463,1403485,741439
2021-04-12,37509,25165,1440994,766604
2021-04-13,32287,19406,1473281,786010
2021-04-14,38608,27571,1511889,813581
2021-04-15,41584,23282,1553473,836863
2021-04-16,42524,25612,1595997,862475
2021-04-17,16688,9024,1612685,871499
2021-04-18,11872,3482,1624557,874981
2021-04-19,43972,15420,1668529,890401
2021-04-20,43106,14902,1711635,905303
2021-04-21,47254,14056,1758889,919359
2021-04-22,57203,17912,1816092,937271
2021-04-23,49957,11828,1866049,949099
2021-04-24,17826,5227,1883875,954326
2021-04-25,14686,3976,1898561,958302
2021-04-26,45218,5751,1943779,964053
2021-04-27,47333,11078,1991112,975131
2021-04-28,58742,12537,2049854,987668
2021-04-29,63916,13925,2113770,1001593
2021-04-30,62231,8498,2176001,1010091
2021-05-01,19322,3339,2195323,1013430
2021-05-02,18910,2235,2214233,1015665
2021-05-03,71312,3943,2285545,1019608
2021-05-04,67848,6693,2353393,1026301
2021-05-05,73149,7420,2426542,1033721
2021-05-06,80379,8734,2506921,1042455
2021-05-07,77228,8168,2584149,1050623
2021-05-08,29428,1608,2613577,1052231
2021-05-09,23802,1190,2637379,1053421
2021-05-10,70767,5497,2708146,1058918
2021-05-11,75253,7419,2783399,1066337
2021-05-12,83469,7614,2866868,1073951
2021-05-13,77411,7214,2944279,1081165
2021-05-14,92145,6665,3036424,1087830
2021-05-15,31985,1634,3068409,1089464
2021-05-16,28537,800,3096946,1090264
2021-05-17,59546,6599,3156492,1096863
2021-05-18,74783,12851,3231275,1109714
2021-05-19,75665,13819,3306940,1123533
2021-05-20,75411,25390,3382351,1148923
2021-05-21,68740,26319,3451091,1175242
2021-05-22,32355,10987,3483446,1186229
2021-05-23,22342,9014,3505788,1195243
2021-05-24,47116,32364,3552904,1227607
2021-05-25,51820,34001,3604724,1261608
2021-05-26,70029,38029,3674753,1299637
2021-05-27,65271,47295,3740024,1346932
2021-05-28,58374,44616,3798398,1391548
2021-05-29,29162,16948,3827560,1408496
2021-05-30,22349,14412,3849909,1422908
2021-05-31,55717,45665,3905626,1468573
2021-06-01,65837,46732,3971463,1515305
2021-06-02,60942,52539,4032405,1567844
2021-06-03,58209,57371,4090614,1625215
2021-06-04,64887,56781,4155501,1681996
2021-06-05,34125,18676,4189626,1700672
2021-06-06,26905,15041,4216531,1715713
2021-06-07,63191,47214,4279722,1762927
2021-06-08,57276,50744,4336998,1813671
2021-06-09,65083,55173,4402081,1868844
2021-06-10,54991,66153,4457072,1934997
2021-06-11,53094,54582,4510166,1989579
2021-06-12,29503,21211,4539669,2010790
2021-06-13,25253,17701,4564922,2028491
2021-06-14,47247,75731,4612169,2104222
2021-06-15,46806,74072,4658975,2178294
2021-06-16,38933,79501,4697908,2257795
2021-06-17,46712,77944,4744620,2335739
2021-06-18,45128,78486,4789748,2414225
2021-06-19,18096,24940,4807844,2439165
2021-06-20,14891,28311,4822735,2467476
2021-06-21,34792,75464,4857527,2542940
2021-06-22,42888,88763,4900415,2631703
2021-06-23,31648,83341,4932063,2715044
2021-06-24,29832,88121,4961895,2803165
2021-06-25,31047,84345,4992942,2887510
2021-06-26,15854,34730,5008796,2922240
2021-06-27,13937,26596,5022733,2948836
2021-06-28,28400,83865,5051133,3032701
2021-06-29,29261,84944,5080394,3117645
2021-06-30,27485,89543,5107879,3207188
2021-07-01,23964,88206,5131843,3295394
2021-07-02,26707,84057,5158550,3379451
2021-07-03,7073,31458,5165623,3410909
2021-07-04,7549,21762,5173172,3432671
2021-07-05,7361,25328,5180533,3457999
2021-07-06,5402,27588,5185935,3485587
2021-07-07,25777,77925,5211712,3563512
2021-07-08,26592,68938,5238304,3632450
2021-07-09,27908,67780,5266212,3700230
2021-07-10,9340,28565,5275552,3728795
2021-07-11,8519,22825,5284071,3751620
2021-07-12,27518,67713,5311589,3819333
2021-07-13,26167,67959,5337756,3887292
2021-07-14,25799,69917,5363555,3957209
2021-07-15,29165,63593,5392720,4020802
2021-07-16,27903,70165,5420623,4090967
2021-07-17,8762,30896,5429385,4121863
2021-07-18,8436,25421,5437821,4147284
2021-07-19,23340,65492,5461161,4212776
2021-07-20,21376,65060,5482537,4277836
2021-07-21,23443,60553,5505980,4338389
2021-07-22,22352,55513,5528332,4393902
