0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0
2.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0
2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0,19.0,123.0,0.0,0.0,0.0,0.0
3.0,10.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0,19.0,123.0,0.0,0.0,0.0,0.0,14.0,137.0,0.0,0.0,0.0,0.0
11.0,21.0,0.0,0.0,0.0,0.0,11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0,19.0,123.0,0.0,0.0,0.0,0.0,14.0,137.0,0.0,0.0,0.0,0.0,41.0,178.0,0.0,0.0,0.0,0.0
11.0,32.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0,19.0,123.0,0.0,0.0,0.0,0.0,14.0,137.0,0.0,0.0,0.0,0.0,41.0,178.0,0.0,0.0,0.0,0.0,7.0,185.0,0.0,0.0,0.0,0.0
12.0,44.0,0.0,0.0,0.0,0.0,17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0,19.0,123.0,0.0,0.0,0.0,0.0,14.0,137.0,0.0,0.0,0.0,0.0,41.0,178.0,0.0,0.0,0.0,0.0,7.0,185.0,0.0,0.0,0.0,0.0,19.0,204.0,0.0,0.0,0.0,0.0
17.0,61.0,0.0,0.0,0.0,0.0,11.0,72.0,0.0,0.0,0.0,0.0,24.0,96.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,0.0,0.0,19.0,123.0,0.0,0.0,0.0,0.0,14.0,137.0,0.0,0.0,0.0,0.0,41.0,178.0,0.0,0.0,0.0,0.0,7.0,185.0,0.0,0.0,0.0,0.0,19.0,204.0,0.0,0.0,0.0,0.0,12.0,216.0,0.0,0.0,0.0,0.0
