Datum,Dennych.PCR.testov,AgTests,prirustkovy_pocet_nakazenych,kumulativni_pocet_nakazenych,prirustkovy_pocet_umrti,kumulativni_pocet_umrti,first_vaccine_cumulative,second_vaccine_cumulative,third_vaccine_cumulative,all_doses_cumulative,first_dose,second_dose,third_dose,all_doses
2020-03-06,378,0.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,66,0.0,2.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,76,0.0,2.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,69,0.0,2.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,111,0.0,0.0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,97,0.0,3.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,95,0.0,11.0,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,58,0.0,11.0,32.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,197,0.0,12.0,44.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,289,0.0,17.0,61.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,159,0.0,11.0,72.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,318,0.0,24.0,96.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,225,0.0,8.0,104.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,301,0.0,19.0,123.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,368,0.0,14.0,137.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,440,0.0,41.0,178.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,242,0.0,7.0,185.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,451,0.0,19.0,204.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,476,0.0,12.0,216.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,335,0.0,10.0,226.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,913,0.0,43.0,269.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,747,0.0,23.0,292.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,720,0.0,22.0,314.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,401,0.0,22.0,336.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,688,0.0,27.0,363.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,877,0.0,37.0,400.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,1191,0.0,26.0,426.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,1454,0.0,24.0,450.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
