0,1,2,3
11.0,0.0,24.0,0.0
24.0,0.0,8.0,0.0
8.0,0.0,19.0,0.0
19.0,0.0,14.0,0.0
14.0,0.0,41.0,0.0
41.0,0.0,7.0,0.0
7.0,0.0,19.0,0.0
19.0,0.0,12.0,0.0
12.0,0.0,10.0,0.0
10.0,0.0,43.0,0.0
43.0,0.0,23.0,0.0
23.0,0.0,22.0,0.0
22.0,0.0,22.0,0.0
22.0,0.0,27.0,1.0
27.0,1.0,37.0,1.0
37.0,1.0,26.0,1.0
26.0,1.0,24.0,1.0
24.0,1.0,21.0,1.0
21.0,1.0,14.0,1.0
14.0,1.0,49.0,2.0
49.0,2.0,47.0,2.0
47.0,2.0,101.0,2.0
101.0,2.0,19.0,2.0
19.0,2.0,14.0,2.0
14.0,2.0,13.0,2.0
13.0,2.0,14.0,2.0
14.0,2.0,27.0,2.0
27.0,2.0,66.0,2.0
66.0,2.0,28.0,6.0
28.0,6.0,114.0,8.0
114.0,8.0,72.0,9.0
72.0,9.0,40.0,11.0
40.0,11.0,72.0,12.0
72.0,12.0,12.0,13.0
12.0,13.0,26.0,14.0
26.0,14.0,45.0,14.0
45.0,14.0,81.0,15.0
81.0,15.0,35.0,17.0
35.0,17.0,13.0,17.0
13.0,17.0,6.0,18.0
6.0,18.0,2.0,18.0
2.0,18.0,3.0,20.0
3.0,20.0,7.0,21.0
7.0,21.0,5.0,23.0
5.0,23.0,7.0,23.0
7.0,23.0,4.0,24.0
4.0,24.0,1.0,24.0
1.0,24.0,5.0,25.0
5.0,25.0,8.0,25.0
8.0,25.0,8.0,25.0
8.0,25.0,16.0,26.0
16.0,26.0,10.0,26.0
10.0,26.0,0.0,26.0
0.0,26.0,2.0,26.0
2.0,26.0,0.0,26.0
0.0,26.0,8.0,27.0
8.0,27.0,4.0,27.0
4.0,27.0,8.0,27.0
8.0,27.0,3.0,27.0
3.0,27.0,13.0,28.0
13.0,28.0,1.0,28.0
1.0,28.0,1.0,28.0
1.0,28.0,0.0,28.0
0.0,28.0,1.0,28.0
1.0,28.0,6.0,28.0
6.0,28.0,1.0,28.0
1.0,28.0,1.0,28.0
1.0,28.0,5.0,28.0
5.0,28.0,2.0,28.0
2.0,28.0,2.0,28.0
2.0,28.0,2.0,28.0
2.0,28.0,5.0,28.0
5.0,28.0,0.0,28.0
0.0,28.0,1.0,28.0
1.0,28.0,0.0,28.0
0.0,28.0,1.0,28.0
1.0,28.0,0.0,28.0
0.0,28.0,3.0,28.0
3.0,28.0,1.0,28.0
1.0,28.0,0.0,28.0
0.0,28.0,2.0,28.0
2.0,28.0,0.0,28.0
0.0,28.0,2.0,28.0
2.0,28.0,1.0,28.0
1.0,28.0,2.0,28.0
2.0,28.0,8.0,28.0
8.0,28.0,1.0,28.0
1.0,28.0,3.0,28.0
3.0,28.0,3.0,28.0
3.0,28.0,4.0,28.0
4.0,28.0,0.0,28.0
0.0,28.0,9.0,28.0
9.0,28.0,1.0,28.0
1.0,28.0,14.0,28.0
14.0,28.0,10.0,28.0
10.0,28.0,1.0,28.0
1.0,28.0,1.0,28.0
1.0,28.0,1.0,28.0
1.0,28.0,18.0,28.0
18.0,28.0,23.0,28.0
23.0,28.0,13.0,28.0
13.0,28.0,14.0,28.0
14.0,28.0,7.0,28.0
7.0,28.0,1.0,28.0
1.0,28.0,2.0,28.0
2.0,28.0,20.0,28.0
20.0,28.0,13.0,28.0
13.0,28.0,20.0,28.0
20.0,28.0,29.0,28.0
29.0,28.0,15.0,28.0
15.0,28.0,1.0,28.0
1.0,28.0,2.0,28.0
2.0,28.0,31.0,28.0
31.0,28.0,53.0,28.0
53.0,28.0,19.0,28.0
19.0,28.0,23.0,28.0
23.0,28.0,8.0,28.0
8.0,28.0,1.0,28.0
1.0,28.0,6.0,28.0
6.0,28.0,19.0,28.0
19.0,28.0,24.0,28.0
24.0,28.0,14.0,28.0
14.0,28.0,11.0,28.0
11.0,28.0,3.0,28.0
3.0,28.0,1.0,28.0
1.0,28.0,41.0,28.0
41.0,28.0,37.0,28.0
37.0,28.0,31.0,28.0
31.0,28.0,29.0,28.0
29.0,28.0,23.0,28.0
23.0,28.0,38.0,28.0
38.0,28.0,2.0,28.0
2.0,28.0,23.0,28.0
23.0,28.0,41.0,28.0
41.0,28.0,20.0,28.0
20.0,28.0,27.0,29.0
27.0,29.0,45.0,29.0
45.0,29.0,7.0,29.0
7.0,29.0,10.0,29.0
10.0,29.0,14.0,29.0
14.0,29.0,49.0,29.0
49.0,29.0,63.0,29.0
63.0,29.0,43.0,31.0
43.0,31.0,43.0,31.0
43.0,31.0,30.0,31.0
30.0,31.0,3.0,31.0
3.0,31.0,16.0,31.0
16.0,31.0,75.0,31.0
75.0,31.0,49.0,31.0
49.0,31.0,62.0,31.0
62.0,31.0,54.0,31.0
54.0,31.0,47.0,31.0
47.0,31.0,5.0,31.0
5.0,31.0,15.0,31.0
